,TIMESTAMP,I_static_model_state_x,I_static_model_state_y,S_static_model_state_x,S_static_model_state_y,S_static_model_state_z,S_static_model_state_a,S_static_model_state_b,S_static_model_state_g,I_current_state_x,I_current_state_y,S_current_state_x,S_current_state_y,S_current_state_z,S_current_state_a,S_current_state_b,S_current_state_g,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
143,4.75,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,94.17106475716956,982.6159077148353,-17.141283200194028,-19.26328597465667,0.34857900201237224,0.19536810849497907,-0.006746762827871033,-0.1458020022938261,0.0,0.4841115723784886,-0.0674728653377552,0.00011709294914033296,-0.00010793855491806261,-0.0002228797275762391,0.012208447471883105
144,4.78,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,94.5255448750167,982.6652508996598,-17.126758161218827,-19.26530784174216,0.34857826128602354,0.195372866809903,-0.006747147493950511,-0.1454299744060737,0.0,0.4841719625216268,-0.06731356915183302,0.00012028561759946477,-7.199988443916681e-05,-0.00019302718032858236,0.012462862144901698
145,4.8100000000000005,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,94.88006577324295,982.7144851881095,-17.112231451242728,-19.26732524673229,0.3485775424447046,0.195376835142991,-0.0067478670581893755,-0.14504898691968016,0.0,0.48422627162431675,-0.06716843569849089,0.0001209137991012871,-0.00011354114141623798,-0.00020800280551758852,0.0127726299390059
146,4.85,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,95.44462356025636,982.7874862401018,-17.0890983516773,-19.27031650935051,0.3443065608668358,0.1946719331550977,0.01336531839152305,-0.14399951990707374,0.0,0.6455428806908357,-0.0830202066553071,-0.16442773821029,0.1048430822897004,0.7704212849924589,0.04050559851730135
147,4.88,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,95.84178223467491,982.8256558599863,-17.072824532823077,-19.271880532799447,0.34652051841638964,0.19672422291211897,0.0028529092504510044,-0.1465003831585059,0.0,0.5648096436365392,-0.019372125372458956,0.14934771312243164,-0.4956440727264835,0.25309940433596967,-0.25700024967309765
148,4.92,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,96.39686396416346,982.8789226834609,-17.050079720492814,-19.274063173371083,0.3442035618023905,0.1920293016248498,0.017872013185676182,-0.15150261206695836,0.0,0.5573676975445659,-0.09723547168217522,-0.17003465713998167,0.43209157085312067,0.25478138159909675,-0.02076388220663424
149,4.95,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,96.75265306981743,982.9098940725204,-17.035501044944066,-19.275332244922787,0.3457548432549168,0.18780159471045363,0.015668065006072544,-0.1515155034062902,0.0,0.48535885846327054,-0.04958113739346213,0.01212529496620972,-0.03518093724328413,0.045227454062958986,0.008361048145825884
150,4.98,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,97.10492196347637,982.9520716930339,-17.021066612228285,-19.27706049864139,0.3456340382703078,0.18711595024758107,0.016146749402863023,-0.1514050796262449,0.0,0.4786622113049506,-0.06205876526970379,-0.0006242488209968265,-0.01023107330028521,0.006882070539478755,0.0018323191550212049
151,5.01,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,97.45184946229588,983.0039216236994,-17.006851046422998,-19.27918508116622,0.34559847045699893,0.18740428474675852,0.015781809858678074,-0.15143630409491865,0.0,0.4713680007179671,-0.07502704031843689,-0.0019710379508811908,0.016760197908119064,-0.024060699507123744,-0.0028110683426598986
152,5.05,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,97.90495585956153,983.0862239273667,-16.98828473551065,-19.28255746824332,0.34543811809281355,0.18932159794570302,0.013942943598405366,-0.15170854253185342,0.0,0.4594612865935298,-0.08949517649529029,-0.005021097264494288,0.054978066831420765,-0.07055672768046076,-0.010535487797514913
